# Command log — audit 2026-05-18
# Format: TIMESTAMP | EXIT | COMMAND
# Recorded for reproducibility per Preflight exit gate.

2026-05-18T00:00:00Z | 0 | git rev-parse HEAD                             # HEAD=a5dfcfb7
2026-05-18T00:00:00Z | 0 | git branch --show-current                      # main
2026-05-18T00:00:00Z | 0 | git status --porcelain | wc -l                 # 0 (clean)
2026-05-18T00:00:00Z | 1 | node --version                                 # MISSING — see skipped-checks.md
2026-05-18T00:00:00Z | 0 | python3 --version                              # 3.9.6
2026-05-18T00:00:00Z | 0 | rg --version                                   # 14.1.1
2026-05-18T00:00:00Z | 0 | jq --version                                   # 1.7.1
2026-05-18T00:00:00Z | 0 | find src/content/docs -name '*.mdx' -not -path '*/internal/*' | wc -l   # 59
2026-05-18T00:00:00Z | 0 | ls src/content/docs/internal/                  # component-fixtures.mdx (verified: fixture only)
2026-05-18T00:00:00Z | 0 | mkdir -p meta/audits/2026-05-18/evidence/{raw/ai-tells,heuristics,tools-config}

# Subsequent commands appended below as audit proceeds.

# === Amendment pass (Node installed mid-audit) ===
2026-05-18T21:25:00Z | 0 | nvm current                              # v24.15.0
2026-05-18T21:25:00Z | 0 | node --version                           # v24.15.0
2026-05-18T21:25:00Z | 0 | npm --version                            # 11.12.1
2026-05-18T21:26:00Z | 0 | npm ci --no-audit --no-fund              # 948 packages, 32s
2026-05-18T21:28:00Z | 0 | npm run check                            # 132 pages built, Pagefind indexed 185 HTML
2026-05-18T21:29:00Z | 0 | npm run test:smoke                       # 14/14 passed, 5.9s
2026-05-18T21:29:00Z | 0 | node external-link-check.mjs             # 27/28 OK, 1 anti-bot 403 (false positive)
2026-05-18T21:30:00Z | 0 | npm install --no-save gray-matter remark remark-mdx unist-util-visit
2026-05-18T21:30:00Z | 0 | node meta/audits/2026-05-18/evidence/build-inventory-ast.mjs   # 59 pages, AST counts
2026-05-18T21:31:00Z | 0 | npx markdownlint-cli2 (MD040 + MD045)    # 8 untagged-code errors (matches AST)
2026-05-18T21:31:00Z | 0 | npx alex src/content/docs/docs/          # clean
2026-05-18T21:31:00Z | 0 | npx afdocs check https://promptless.ai   # 21 pass / 1 warn / 1 skip
